species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb_p,E_Hp
Gallotia_caesaris,3.878362e+01,5.166533e+02,1.267393e+03,3.000000e-01,9.400000e-01,9.300000e+00,9.889784e-03,2.971500e+02,False,False,6.653938e+01,7.298700e-01,5.171800e-02,2.407550e+01,9.015000e-09,1.438584e-01,1.441000e+04
Ortalis_vetula,3.036201e+00,5.544367e+00,4.240121e+02,2.800000e-01,5.300000e+01,5.420000e+02,8.301650e-02,3.138500e+02,False,False,1.299139e+03,9.740700e-01,3.407800e-02,2.885011e+02,2.088000e-11,2.413838e-01,1.532000e+04
Bolborhynchus_lineola,4.389117e+00,9.561220e+00,8.967132e+02,2.800000e-01,2.320000e+00,5.570000e+01,6.780317e-02,3.116500e+02,False,False,3.335175e+03,9.912800e-01,2.083500e-02,2.570634e+03,6.528000e-13,2.611294e-02,2.125000e+03
Sula_leucogaster,6.327201e+00,2.283965e+01,1.532109e+03,2.800000e-01,6.000000e+01,1.750000e+03,3.550662e-02,3.151500e+02,False,False,1.417233e+04,9.925100e-01,4.776500e-02,4.218378e+03,8.280000e-13,2.795375e-03,3.416000e+05
Ara_ararauna,4.087230e+00,1.933574e+01,2.467272e+03,2.800000e-01,1.970000e+01,1.500000e+03,2.904692e-02,3.119500e+02,False,False,3.268251e+03,9.983500e-01,6.396100e-02,5.886873e+02,8.258000e-16,2.362292e-03,2.705000e+04
Bufo_bufo,2.097296e+01,1.486137e+03,2.087357e+04,2.800000e-01,4.200000e-03,4.170000e+02,2.559441e+00,2.881500e+02,False,False,4.168302e+02,9.865300e-01,1.865300e-01,6.043110e+01,2.917000e-10,1.144080e-05,2.686000e+04
Loxioides_bailleui,3.388807e+00,1.261949e+01,5.770695e+02,2.800000e-01,2.600000e+00,3.760000e+01,4.505523e-02,3.147500e+02,False,False,1.170183e+03,9.674800e-01,2.697300e-02,6.599796e+02,3.301000e-13,4.894929e-02,3.569000e+03
Macroramphosus_gracilis,9.481282e+00,7.978863e+02,2.662052e+03,2.000000e-01,3.800000e-04,3.320000e+01,2.605133e+01,2.891500e+02,False,False,1.105432e+02,8.500000e-01,5.755000e-02,3.289400e+01,1.082000e-07,7.957093e-05,3.123000e+03
Fundulus_luciae,1.061865e+01,1.433518e+02,2.768433e+02,2.000000e-01,4.200000e-03,6.000000e-01,7.923483e-02,2.961500e+02,True,False,2.791414e+01,9.640500e-01,3.833400e-02,4.535600e+01,5.928000e-07,2.650496e-02,2.721000e+01
Cyanopsitta_spixii,4.087230e+00,1.509131e+01,1.549218e+03,2.800000e-01,1.520000e+01,2.800000e+02,2.904692e-02,3.119500e+02,False,False,1.516545e+03,9.919300e-01,4.960000e-02,4.165785e+02,3.981000e-14,2.021573e-02,2.225000e+04
