species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,s_p_M,s_Hb_bj,s_Hbj_p,E_Hp,k_J,1/s_M,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Trichiurus_lepturus,2.795463e+00,9.036397e+03,2.000000e-01,5.200000e-04,5.055615e+01,5.000000e+03,2.157940e+02,2.883500e+02,True,1.349837e+02,6.421000e-02,7.404700e-02,8.488055e-03,2.386602e-01,4.150615e-05,1.381000e+04,2.000000e-03,6.205035e-01,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,True,test
Trichiurus_lepturus_japonicus,2.704494e+00,6.681688e+03,2.000000e-01,4.250000e-04,8.000000e+01,5.000000e+03,7.205925e+02,2.911500e+02,True,1.377926e+03,3.387000e-02,2.288100e-02,1.596033e-03,2.934218e-01,5.826087e-06,3.105000e+03,2.000000e-03,6.674420e-01,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,True,val
Trichoglossus_euteles,5.103625e+00,7.298815e+02,2.800000e-01,5.500000e+00,7.001500e+01,7.370000e+01,6.576410e-02,3.144500e+02,False,1.363658e+03,3.068800e-01,2.101900e-02,9.647272e-01,1.000000e+00,4.674740e-02,7.102000e+04,2.043500e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,test
Trichoglossus_haematodus,5.103625e+00,9.397225e+02,2.800000e-01,1.000000e+01,1.219800e+02,1.284000e+02,4.384273e-02,3.144500e+02,False,1.780534e+03,3.170500e-01,2.457200e-02,9.746659e-01,1.000000e+00,5.514027e-02,1.105000e+05,2.318000e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,train
Trichomycterus_itacarambiensis,4.239544e+00,1.616721e+03,2.000000e-01,1.410000e-02,7.000000e-01,4.660000e+00,4.329750e-02,2.981500e+02,True,1.395444e+01,2.000000e-02,1.439500e-01,1.176955e-01,8.878788e-02,1.722698e-01,9.578000e+01,2.000000e-03,4.648547e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,train
Tridacna_gigas,3.729050e-01,1.633324e+04,9.000000e-02,5.230000e-07,6.222405e+01,2.000000e+04,3.061243e+06,3.031500e+02,True,5.117122e+00,1.689800e-01,2.310600e-02,1.384725e-03,3.531260e-02,1.541031e-07,4.131000e+04,6.222200e-05,3.281361e-01,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,train
Trigla_lyra,1.544455e+01,5.637262e+03,2.000000e-01,3.800000e-04,2.246000e+02,1.800000e+03,6.590008e+01,2.862500e+02,True,1.820831e+02,1.131400e-01,3.361200e-02,6.769701e-02,2.063266e-01,5.389847e-06,1.044000e+05,2.000000e-03,5.918018e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,val
Tringa_flavipes,4.695335e+00,9.376324e+02,2.800000e-01,1.150000e+01,7.661750e+01,8.065000e+01,4.266064e-02,3.141500e+02,False,1.678725e+03,1.064500e-01,4.568400e-02,9.044902e-01,1.000000e+00,1.037415e-01,3.234000e+04,2.594700e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,train
Tringa_totanus,4.899480e+00,1.261116e+03,2.800000e-01,1.400000e+01,1.415500e+02,1.490000e+02,8.532128e-02,3.141500e+02,False,1.738422e+03,2.526900e-01,3.484200e-02,8.709413e-01,1.000000e+00,7.991007e-02,1.112000e+05,2.154300e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,val
Triops_longicaudatus,6.649357e-01,1.774336e+01,1.700000e-01,1.567198e-05,4.024034e-03,5.550000e-01,2.646873e+01,2.981500e+02,False,1.450844e+03,1.000000e-02,6.028000e-02,1.383322e-03,1.000000e+00,1.538674e-04,1.810000e+00,2.000000e-03,1.000000e+00,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,val
