species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,s_p_M,s_Hb_bj,s_Hbj_p,E_Hp,k_J,1/s_M,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Gopherus_agassizii,4.796528e+01,1.587497e+04,3.000000e-01,2.750000e+01,1.229000e+03,2.473000e+03,3.164731e-02,2.971500e+02,False,9.198099e+01,4.725325e-01,4.085218e-02,2.361910e-01,1.000000e+00,1.163096e-02,1.204068e+07,1.372794e-04,1.000000e+00,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
Clarias_batrachus,8.963778e-01,3.271779e+03,2.000000e-01,1.200000e-03,1.586000e+02,7.230000e+02,6.143447e+01,2.981500e+02,True,2.366615e+02,1.471319e-02,3.353508e-02,1.294580e-01,1.000000e+00,3.691664e-06,1.009843e+04,2.000000e-03,1.000000e+00,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Amblyraja_georgiana,1.400340e+03,2.469625e+04,2.000000e-01,6.212108e+01,6.541514e+03,1.620000e+04,2.040796e-02,2.771500e+02,False,2.981119e+03,3.000000e-01,6.351000e-02,7.108672e-02,1.000000e+00,2.552282e-03,3.988678e+06,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
Dentiraja_polyommata,3.091450e+02,4.932805e+03,2.000000e-01,9.255045e+00,2.498862e+02,5.490000e+02,1.621795e-02,2.899500e+02,False,2.259730e+02,3.275986e-01,3.558000e-02,3.120864e-01,1.000000e+00,2.557869e-02,4.327765e+05,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
Callisaurus_draconoides,5.000000e+01,2.104577e+03,3.000000e-01,4.777778e-01,5.379873e+00,1.290000e+01,3.468630e-01,2.981500e+02,False,7.364334e+02,3.764624e-01,3.029722e-02,7.440334e-02,1.000000e+00,3.510893e-02,2.058332e+04,2.000000e-03,1.000000e+00,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Haematopus_moquini,6.736785e+00,1.655894e+03,2.800000e-01,3.400000e+01,6.365000e+02,6.700000e+02,4.227325e-02,3.140500e+02,False,1.636299e+03,2.653149e-02,2.992332e-02,7.107880e-01,1.000000e+00,4.432750e-02,3.359837e+04,1.574680e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
Gopherus_morafkai,4.796528e+01,2.022289e+04,3.000000e-01,2.240000e+01,1.882754e+03,4.200000e+03,2.057075e-02,2.971500e+02,False,9.895367e+01,1.475316e-01,3.194850e-02,3.584877e-01,1.000000e+00,4.201110e-03,4.971093e+06,2.221704e-04,1.000000e+00,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
Planorbis_planorbis,1.250000e+01,2.100000e+02,1.500000e-01,6.117000e-05,1.216000e-01,4.336000e-01,1.000000e+01,2.931500e+02,True,7.935815e+01,3.834541e-02,1.920630e-02,9.934463e-03,4.893081e-03,4.199490e-02,2.731427e+01,2.000000e-03,1.860643e-01,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
Decapterus_macarellus,3.692765e+00,1.497622e+03,2.000000e-01,5.200000e-04,1.370000e+02,1.084000e+03,3.545622e+02,2.950500e+02,True,1.143598e+02,7.244514e-02,2.075990e-02,9.752532e-02,3.417132e-01,7.886655e-06,3.604484e+04,2.000000e-03,6.998295e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
Rhizoprionodon_lalandii,1.030627e+02,1.517998e+03,2.000000e-01,2.974217e+02,1.653269e+03,2.950000e+03,1.581030e-02,3.003500e+02,False,4.988385e+02,3.858674e-01,3.351842e-02,3.718423e-01,1.000000e+00,1.225552e-01,2.786791e+06,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
Harengula_clupeola,6.521666e+00,1.388571e+03,2.000000e-01,2.400000e-03,1.370000e+01,1.234000e+02,2.016461e+02,2.998500e+02,True,1.210883e+02,6.365374e-01,1.718381e-02,4.799213e-02,8.153350e-01,1.253920e-04,7.973597e+04,6.968871e-04,9.351516e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Ciconia_abdimii,6.124350e+00,1.059963e+03,2.800000e-01,6.100000e+01,1.328100e+03,1.398000e+03,6.113423e-02,3.136500e+02,False,3.878551e+03,1.793811e-01,2.562787e-02,9.501035e-01,1.000000e+00,3.081150e-02,3.027454e+05,3.367251e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Calidris_maritima,8.815980e+00,9.751377e+02,2.800000e-01,9.100000e+00,8.550000e+01,9.000000e+01,8.532128e-02,3.141500e+02,False,1.790404e+03,1.759838e-01,7.626606e-02,9.451071e-01,1.000000e+00,5.291422e-02,9.624790e+04,2.233400e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True
Tiliqua_rugosa,1.088886e+02,5.909766e+03,3.000000e-01,9.900000e+01,1.800000e+02,7.170000e+02,3.103295e-03,2.981500e+02,False,5.563610e+02,8.058262e-02,6.666745e-02,1.469934e-01,1.000000e+00,2.501694e-01,1.665822e+05,2.000000e-03,1.000000e+00,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Scorpaena_porcus,2.678859e+01,5.866700e+03,2.000000e-01,1.800000e-03,4.397834e+01,9.784000e+02,5.039460e+01,2.870500e+02,True,1.789439e+02,1.230112e-01,2.778900e-02,2.280327e-02,5.616627e-01,5.506103e-05,1.693790e+04,2.000000e-03,8.260249e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Hydromys_chrysogaster,1.762227e+01,6.172465e+02,3.000000e-01,3.140000e+01,4.330000e+02,8.500000e+02,1.011657e-01,3.097500e+02,False,1.218346e+04,3.582156e-02,2.038933e-02,2.190225e-01,1.000000e+00,8.900423e-03,2.186588e+05,2.000000e-03,1.000000e+00,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True
Buteo_platypterus,6.022277e+00,9.401246e+02,2.800000e-01,2.800000e+01,4.180000e+02,4.400000e+02,4.866376e-02,3.131500e+02,False,3.463643e+03,5.304021e-02,2.422975e-02,7.988317e-01,1.000000e+00,6.841372e-02,2.069722e+04,5.036929e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
Buteo_jamaicensis,6.328495e+00,1.577149e+03,2.800000e-01,5.760000e+01,1.162800e+03,1.224000e+03,5.839651e-02,3.131500e+02,False,3.146511e+03,5.607172e-02,3.155256e-02,8.059321e-01,1.000000e+00,4.292744e-02,8.720493e+04,2.880600e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True
Oregonichthys_crameri,1.827789e+01,7.063867e+03,2.000000e-01,5.200000e-04,6.429048e-01,3.300000e+00,8.549141e-01,2.851500e+02,True,4.635267e+01,1.494203e-01,8.938013e-02,9.537174e-02,9.999725e-01,6.230497e-04,6.810762e+02,2.000000e-03,9.999911e-01,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
Caranx_senegallus,7.739628e+00,3.766619e+03,2.000000e-01,5.200000e-04,1.330000e+02,1.480000e+04,1.061960e+04,2.928500e+02,True,2.357150e+02,2.137094e-01,2.741400e-02,5.424775e-03,1.036787e-01,2.809730e-05,8.751426e+04,2.000000e-03,4.702862e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Stephanoaetus_coronatus,1.000310e+01,9.247127e+02,2.800000e-01,9.300000e+01,3.752500e+03,3.950000e+03,1.751895e-02,3.131500e+02,False,2.680245e+03,2.268827e-02,2.203299e-02,8.710505e-01,1.000000e+00,1.891437e-02,1.008400e+05,1.826304e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True
Kajikia_audax,4.847953e+00,2.527861e+03,2.000000e-01,5.230000e-04,5.500000e+04,4.400000e+05,1.147215e+05,2.971500e+02,True,6.492597e+01,2.639287e-02,2.169207e-02,1.028934e-01,6.786383e-05,7.496767e-05,8.906238e+06,2.000000e-03,4.095653e-02,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Nannoperca_vittata,1.400000e+01,1.825000e+03,2.000000e-01,5.200000e-04,8.600000e-01,5.600000e+00,2.172603e+00,2.931500e+02,True,3.717266e+01,8.348500e-02,2.173726e-02,1.102348e-01,9.040877e-01,4.599624e-04,4.404074e+02,2.000000e-03,9.676117e-01,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
Semaprochilodus_taeniurus,8.307964e-01,1.427015e+03,2.000000e-01,4.000000e-04,2.244622e+01,2.970000e+02,2.752370e+00,2.981500e+02,True,1.920680e+02,2.249634e-04,6.618173e-02,2.739953e-02,9.654668e-01,1.558747e-05,1.902501e+01,2.000000e-03,9.884289e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Anthobaphes_violacea,2.960102e+00,2.219498e+02,2.800000e-01,1.200000e+00,8.360000e+00,8.800000e+00,3.829695e-02,3.147500e+02,False,6.043463e+02,4.106019e-02,2.990861e-02,8.631668e-01,1.000000e+00,6.919550e-02,1.957698e+03,1.830691e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
Saxicola_torquatus,2.858030e+00,3.906317e+02,2.800000e-01,2.200000e+00,1.995000e+01,2.100000e+01,2.815952e-01,3.147500e+02,False,1.515170e+03,1.789448e-01,2.990549e-02,8.119654e-01,1.000000e+00,8.286286e-02,1.024749e+04,3.829611e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Dipodomys_stephensi,2.714982e+01,7.933072e+02,3.000000e-01,7.000000e+00,5.500000e+01,6.500000e+01,1.222729e-01,3.101500e+02,False,4.026475e+04,5.408098e-02,2.022146e-02,4.447691e-01,1.000000e+00,5.523030e-03,1.702306e+05,2.000000e-03,1.000000e+00,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
Hippocampus_reidi,7.608611e+00,6.942857e+02,2.000000e-01,2.300000e-03,2.270000e+00,2.380000e+01,7.924691e+00,2.998500e+02,True,2.027252e+01,5.559494e-02,2.079014e-02,2.558862e-02,1.240531e-02,6.999917e-02,6.838319e+02,2.000000e-03,2.374373e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Ruditapes_philippinarum,1.799879e+00,8.594417e+03,9.000000e-02,2.555556e-08,4.777778e-01,1.088889e+01,5.084831e+03,2.881500e+02,True,3.432951e+00,8.362568e-03,5.821182e-03,2.502303e-02,3.347531e-03,1.338191e-05,1.003341e+01,2.000000e-03,1.498126e-01,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
Semaprochilodus_insignis,8.307964e-01,1.427015e+03,2.000000e-01,4.000000e-04,3.084734e+01,4.110000e+02,3.808836e+00,2.981500e+02,True,2.165985e+02,2.317130e-04,6.354615e-02,2.609738e-02,8.995321e-01,1.146813e-05,2.681916e+01,2.000000e-03,9.655189e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Sialia_mexicana,2.858030e+00,3.861927e+02,2.800000e-01,3.700000e+00,2.622000e+01,2.760000e+01,1.689571e-01,3.147500e+02,False,3.055677e+03,3.818631e-01,2.686294e-02,9.417531e-01,1.000000e+00,1.005041e-01,2.183103e+04,6.697108e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True
Ramphastos_toco,3.572537e+00,1.133371e+03,2.800000e-01,1.600000e+01,6.323485e+02,6.656300e+02,6.882122e-02,3.149500e+02,False,2.578410e+03,4.146107e-02,3.853849e-02,9.228076e-01,1.000000e+00,1.474559e-02,5.867685e+04,2.577278e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True
