species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb_p,E_Hp,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Chasmistes_brevirostris,2.729324e+01,4.296735e+03,3.130924e+04,2.000000e-01,4.200000e-03,3.096000e+03,1.018868e+02,2.861500e+02,True,False,3.489704e+03,8.600500e-01,1.859200e-02,7.000000e+02,1.730000e-09,8.777470e-08,1.083000e+06,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True
Chasmistes_cujus,1.750390e+01,4.286946e+03,3.130924e+04,2.000000e-01,4.200000e-03,3.493000e+03,8.432015e+01,2.861500e+02,True,False,2.491876e+02,8.032500e-01,5.829900e-02,2.198690e+01,1.205000e-09,3.275661e-06,8.554000e+05,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Chasmistes_liorus,1.754565e+01,4.286988e+03,3.130924e+04,2.000000e-01,4.200000e-03,3.559000e+03,8.432015e+01,2.861500e+02,True,False,4.019026e+03,8.880400e-01,2.709900e-02,7.406216e+02,1.362000e-09,4.569357e-08,2.069000e+06,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Chionoecetes_opilio,1.590134e+03,7.950670e+03,3.021255e+04,1.700000e-01,1.800000e-04,4.294000e+02,9.433167e+01,2.781500e+02,True,False,3.306495e+01,7.017100e-01,1.971400e-02,1.455310e+01,8.561000e-08,2.424876e-05,1.005000e+04,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
Chirocentrus_dorab,9.026620e-01,1.721295e+02,2.677883e+03,2.000000e-01,3.773184e-04,1.200000e+03,2.925759e+02,2.981500e+02,True,False,1.756044e+02,9.742300e-01,2.753400e-02,3.191000e+01,1.372000e-09,1.115650e-06,5.949000e+03,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
Chirocentrus_nudus,9.026620e-01,1.377036e+02,2.677883e+03,2.000000e-01,3.773184e-04,1.200000e+03,2.925759e+02,2.981500e+02,True,False,2.183158e+02,9.742300e-01,2.797600e-02,3.926050e+01,1.417000e-09,1.744197e-06,4.136000e+03,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
Chromis_chromis,4.405199e+00,6.067538e+02,3.285000e+03,2.000000e-01,3.490206e-04,2.292000e+01,2.000000e+02,2.951500e+02,True,False,4.383932e+01,8.885900e-01,3.527500e-02,3.054350e+01,6.876000e-09,6.553325e-06,6.676000e+03,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
Chrosomus_neogaeus,1.300000e+01,3.780000e+02,2.190000e+03,2.000000e-01,1.400000e-03,1.170000e+01,8.383562e+00,2.931500e+02,True,False,2.161959e+01,9.077300e-01,4.055000e-02,6.945830e+01,2.804000e-09,1.522271e-03,4.580000e+02,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True
Cirrhinus_cirrhosus,2.421747e+00,3.559969e+02,4.419689e+03,2.000000e-01,5.236000e-04,1.270000e+04,5.656507e+03,3.011500e+02,True,False,1.193913e+02,9.073800e-01,1.981700e-02,1.688460e+01,2.051000e-10,1.939346e-07,6.265000e+05,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
Clione_limacina,5.105305e+00,4.886507e+01,4.351653e+03,1.500000e-01,8.333333e-08,3.640000e+00,1.378786e+02,2.791500e+02,True,False,2.349618e+01,9.961000e-01,3.755000e-03,2.919000e+02,4.914000e-05,1.553836e-06,1.486000e-01,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
Clupea_harengus,7.106840e+01,2.826457e+03,1.554551e+04,2.000000e-01,1.533663e-02,1.050000e+03,2.830399e+01,2.841500e+02,True,False,1.012444e+02,7.365000e-01,8.670000e-02,3.441000e+01,1.496000e-09,1.689850e-05,9.202000e+05,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
Clypeaster_subdepressus,1.735448e+00,2.932063e+03,2.344262e+04,9.000000e-02,5.100000e-06,5.000000e+02,8.190210e+03,2.991500e+02,True,False,1.008441e+01,8.000000e-01,1.336000e-02,3.622600e+00,9.252000e-10,2.168843e-07,1.072000e+04,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Corydoras_aeneus,1.898303e+00,9.681346e+01,1.154801e+03,2.000000e-01,6.400000e-04,3.200000e+00,2.597850e+00,2.981500e+02,True,False,1.454308e+02,9.823700e-01,5.977400e-02,1.125113e+02,3.769000e-09,2.425129e-04,1.743000e+02,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True
Coryphaena_hippurus,8.223850e-01,6.647696e+01,8.839378e+02,2.000000e-01,5.331498e-04,3.950000e+04,1.131301e+04,3.011500e+02,True,False,1.723698e+02,7.867600e-01,2.187800e-02,2.446310e+01,2.221000e-08,2.162460e-05,1.545000e+05,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Crassostrea_corteziensis,3.480222e+00,2.031184e+01,3.581525e+04,9.000000e-02,4.551661e-08,1.000000e+02,1.222943e+05,2.981500e+02,True,False,8.651069e+00,6.052500e-01,2.556000e-02,2.575280e+01,9.139000e-10,1.245019e-06,2.861000e+01,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Crassostrea_virginica,1.155663e+00,5.557360e+01,7.300000e+03,9.000000e-02,1.666667e-06,3.977778e+02,1.300000e+06,2.931500e+02,True,False,1.142673e+01,6.810300e-01,2.198600e-02,4.165700e+00,9.487000e-10,1.281314e-06,9.740000e+02,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
