Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Hynobius_tokyoensis,0.0375446821332312,1.89936315038553,0.654422907003762,0.0216761516502229,26.0507696771715,27.6491563983281,13465.8437793305,0.0375446816080909,1.89935107755804,0.654434827694656,0.0216754443552979,26.0522138914516,27.6470435175017,13465.8371759444,0,1,500,33.7820025,0,""
Arenaria_interpres,0.104264623874762,1.71706138462745,0.8891412136504,0.0249005754468185,1767.72655786911,1368.400060639,13135.2870298833,0.104228828418815,1.71116133461306,0.889216586716541,0.024682175294079,1769.36902255604,1359.34234880302,12962.6088806119,0,1,500,34.123245,0,""
Acridotheres_cristatellus,0.122872109171386,2.08168225429779,0.917410447718183,0.0329292123146667,1149.03607607781,703.183553803687,18126.3334624543,0.120494845328296,1.94131662962629,0.911352409563593,0.0307082361359109,1419.05770767609,662.760880308501,16240.2510325951,0,10,5000,256.6361724,0,""
Achondrostoma_arcasii,0.0187751078144541,5.05445720148952,0.976956245060686,0.0249,20.6069781749931,0.0578994249469357,141.387679292987,0.0175649110803755,5.0570758934531,0.976804924028823,0.0249,20.5368434469642,0.0583684658460784,164.272675314426,0,2,1000,49.4470994,0,""
Pagellus_bogaraveo,0.0150581457078856,6.67952239884189,0.92895467032748,0.0227842025554366,25.0223173573539,0.0124037237807607,93646.6450641734,0.0149612724100153,6.65889783818199,0.928585793240674,0.0224493520090072,24.9640000820755,0.012461313657446,92548.0449296755,0,1,500,67.1597759,0,""
Certhilauda_chuana,0.116372683654838,2.5296660335186,0.736414056755016,0.0667907026132825,108.905605941787,7003.47964491508,131027.269479097,0.115915048909503,2.54835064291619,0.749722006484545,0.0675959198926433,105.647883389507,6666.32262846949,124451.746684191,0,4,2000,73.6452539,0,""
Geococcyx_californianus,0.104835030576523,2.0441,0.95594,0.023989,2343.9772,403.9,6416,0.104529543174722,1.99950257240925,0.957282090427955,0.0232554402230383,2508.396389335,364.364332080557,5734.20778788102,0,3,1500,135.0056282,0,""
Falco_tinnunculus,0.0997730082077353,2.42482373951064,0.918375722977958,0.0247568285195775,719.992756547252,1778.60930303534,22715.3237744085,0.0997492072229737,2.41403826183944,0.917277341146661,0.0246767255460188,728.898046381754,1793.88823655427,22857.7959611848,0,1,500,39.9168752,0,""
Pelophylax_ridibundus,0.340549380918191,3.52582086030119,0.514465569051372,0.0694240546934199,54.3601478755705,20.4687866498911,231655.549091476,0.340549380783924,3.52580610050644,0.5144597012872,0.0694240883379564,54.3603270166116,20.4691345748923,231661.95168142,0,1,500,21.3525519,0,""
Dipturus_batis,0.112875840434351,26.6740271451102,0.959950920511543,0.0266436663582762,21.6299426859818,882.92994250763,282487.14656858,0.112875838032552,26.6735299922083,0.959953774731379,0.0266429638976848,21.6309939950662,882.748898901243,282450.568677396,0,1,500,40.5718854,0,""
Bathyraja_parmifera,0.291979475840943,10.2194739208105,0.811154165444047,0.057,331.48470355026,9616.75755303782,3385467.47652438,0.291979475840943,10.2194739203592,0.811154165004474,0.057,331.484702973931,9616.75762044417,3385467.45422301,1,1,338,14.1484048,0,""
Indicator_minor,0.0777579733100432,3.02340255617422,0.69576180363206,0.0937756711024459,22.6840872151468,7519.22143053562,70731.4604944551,0.0777578642872123,3.02333865405342,0.695626363655018,0.0937836037691167,22.6746545015311,7524.0327391462,70743.0537148293,0,1,500,34.4866701,0,""
Pterodroma_atrata,0.114609550743724,3.30879875217725,0.808822825470365,0.021548211084759,483.075757927571,16608.7362717956,196901.471064343,0.114591111135674,3.31668957755881,0.809211081055777,0.0216613839386961,483.013296706063,16616.9525225706,197859.628291512,0,1,500,33.2658681,0,""
Regulus_regulus,0.10290860800919,0.991961490371809,0.725063135633279,0.021783588342925,969.403684184404,439.761556511575,7658.20530541071,0.102845950028554,0.99255473343163,0.723131516052715,0.0218169837133221,964.680830338261,444.503936054862,7706.36397642532,0,1,500,36.2618772,0,""
Pelophylax_porosus,0.173515467731823,3.10373951233219,0.674049727208238,0.0458305827467026,69.3150843987227,7.33416802655905,77385.375735205,0.173515467729453,3.10374053016483,0.674050065134351,0.0458305825853478,69.3150728670851,7.33415966928666,77385.1957583719,0,1,500,24.9802841,0,""
Biomphalaria_glabrata,0.327148287685698,0.115360000829767,0.539600601203102,0.0209716777880703,859.669308915018,0.493920881866675,1061.83824483699,0.327148000194716,0.115347198798202,0.5394867643489,0.0209708502633311,859.697317410978,0.493977407366583,1062.01069713398,0,1,500,28.95994,0,""
Wallabia_bicolor,0.151366837477252,15.9884292668597,0.702810483722273,0.0285254977792361,23.8792565143864,559.5947072212,8177205.34476445,0.151366837468688,15.9884149716804,0.702809673870607,0.0285254863443681,23.8792661466992,559.596577728471,8177226.47404378,0,1,500,21.00325,0,""
Girardinus_denticulatus,0.518884104958508,0.42203772032624,0.881334952277202,0.0140891319400471,336.991612581115,4.61575316248376,410.923285190481,0.147514147941974,0.467852727066219,0.881510105232313,0.0144645670615443,277.936470895968,4.26008421418251,829.883596566425,1,18,8601,517.0512573,0,""
Todiramphus_cinnamominus,0.102510994698459,1.80649621843359,0.860324219281762,0.0279471501833193,839.812927901858,1439.28234373678,20299.4590694611,0.102487763919514,1.80354652258192,0.860267249564896,0.0278767898679725,840.541804438216,1439.23939825387,20206.7275374758,0,1,500,25.5399498,0,""
Acarichthys_heckelii,0.525623661084919,1.66898801859102,0.962802584141365,0.0207993536899796,3183.78105292297,0.0105287810528678,5935.36271332421,0.52562357049352,1.66887581375598,0.962805079126427,0.0208009350296727,3184.64588321196,0.0105271287780477,5935.60691894478,1,1,286,24.1053061,0,""
Pluvialis_apricaria,0.120196114324916,2.70057079812253,0.866783904154056,0.0275769217970704,692.190168015371,3985.38843803975,65023.4376849208,0.120100687805007,2.69365885011971,0.867699089380846,0.027444237185147,700.820559538379,3893.1656827343,63388.9525515353,0,1,500,35.3836137,0,""
Desmognathus_brimleyorum,0.364519878171509,1.94786233912615,0.963527900557417,0.025470522951199,57.3187638793922,7.87103910418191,591.459274130792,0.364519878171492,1.94786250466639,0.963527898196209,0.0254705333670935,57.3187501952967,7.87104097065519,591.459461787824,1,1,384,11.6118002,0,""
Ardeola_idae,0.111058066515586,2.34322750887583,0.83924372441026,0.0314741214579739,1386.02818320658,3886.38490421823,56647.3086918524,0.111012974584828,2.34764495234646,0.837734177038028,0.0316685645260912,1385.12473602872,3924.12126914164,57369.7780832884,0,1,500,27.7178078,0,""
Pterodroma_incerta,0.106402414392269,3.57010599029217,0.662478702352946,0.0185673954462084,358.596808178619,35937.8013240482,547085.048817569,0.10592791916803,3.59202006716623,0.660205383395721,0.0187334956373444,351.25562258522,36975.7966357978,567319.818317346,0,3,1500,83.8216409,0,""
Gallotia_stehlini,0.0871661691893945,4.10370233603883,0.594503275238636,0.0615477185573278,16.7467427957513,8601.92250587705,145313.447889652,0.0871661691796666,4.10369925529297,0.594500507680005,0.0615478878501777,16.7466959732183,8602.02628848584,145314.575897854,0,1,500,16.6498393,0,""
Auxis_rochei,0.0615267378785757,6.34254370843858,0.960406458844235,0.0282030231096588,49.6970338891573,0.036074991066427,86263.2287295473,0.058870411100137,6.62649519690087,0.957129941098157,0.030329500527164,42.769847755095,0.0449395240455954,96047.0325104623,1,4,1989,147.2655928,0,""
Crocodylus_palustris,0.0586459694436216,34.0054901648833,0.766085246370835,0.0653992877441218,18.9177662944352,109341.469091952,58387587.8691292,0.0586459694349694,34.0053879969811,0.766085805300343,0.0653989363055307,18.918003207491,109340.254514388,58387769.014162,0,1,500,28.8466015,0,""
Sterna_hirundo,0.105079626591558,2.29891243466319,0.929131068796749,0.0298740929268688,692.869045834098,1623.26263784951,18719.8691081866,0.104804115586401,2.26721633617491,0.927241085157753,0.0296538770566954,730.2686257741,1629.91999229714,18693.509745485,0,3,1500,70.8029276,0,""
Poicephalus_cryptoxanthus,0.0918118118048471,2.62852417505907,0.883836188731081,0.0196451233412724,332.394715437093,1379.61504256872,53715.5227061612,0.0911833344840016,2.66299132111981,0.880649644670714,0.0200258066223108,317.750122025582,1471.17452840949,57850.3679780246,0,3,1500,76.7727203,0,""
