Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Diplectrum_pacificum,0.0585099563460515,3.6061,0.79716,0.018685,11.4308,0.3708,53330,0.0560797630575537,3.59483729576214,0.792711942608153,0.0182449962076845,11.6907688593287,0.37677170019186,57764.8987839277,0,2,1000,51.2734294,0,
Elagatis_bipinnulata,0.0261995837936315,2.4696,0.9345,0.012489,21.2319,0.006129,8749,0.00884584538422038,2.59430480716057,0.939755110009525,0.0201647341777825,18.8314975958366,0.0071193848854567,10359.7255767288,1,5,2357,95.5307352,0,
Epidalea_calamita,0.124805754598361,1.9791,0.99244,0.021653,303.7395,0.04576,773.8,0.0992142903205946,2.08304270960269,0.990223339412893,0.021653,227.678891363145,0.0764666030905726,541.125982007166,0,3,1500,53.1370459,0,
Epinephelus_coioides,0.947997769570853,14.6984,0.98424,0.018157,9.1837,0.01432,68190,0.309096988738717,14.8767490151802,0.989321858029734,0.026714583139238,12.7428533463623,0.00983572120438504,49078.7445172277,1,10,4598,321.5943283,0,
Epinephelus_cyanopodus,0.63759117949218,9.207,0.93871,0.0088637,41.4785,0.006669,3516000,0.237286039297654,10.8509434790321,0.930947092725419,0.0133884605796132,21.1832731506919,0.0188722863604875,1428855.15498371,0,7,3500,125.3597487,0,
Epinephelus_drummondhayi,0.213381659510258,15.1941,0.98122,0.021704,15.1989,0.01295,120500,0.0546034356065572,15.3635684508659,0.977951229641611,0.0206589136972382,13.5852500808779,0.0163868628439737,156342.847226641,0,4,2000,13096.9434684,0,
Epinephelus_fuscoguttatus,0.175398172216538,15.4328,0.89643,0.01098,13.0769,0.05122,685600,0.0568461487953667,15.9680172631748,0.920007635331726,0.0143510263033092,14.1338621800953,0.0435981312020317,461567.102975333,0,4,2000,78.5753035,0,
Epinephelus_howlandi,0.0580585677094453,8.1056,0.57208,0.023196,15.6758,0.5615,427300,0.0196673048567444,7.20018075780616,0.612646748190016,0.0214753765745895,19.2140263841742,0.448561232914623,356665.646443334,0,7,3500,208.0008815,0,
Epinephelus_itajara,0.289013202659733,33.1467,0.72968,0.044512,7.8892,0.3092,33480000,0.0767024541226481,34.6646455422506,0.746892776519235,0.0494944426775062,8.3045458905708,0.288790398886118,30733179.9216323,0,4,2000,98.0215426,0,
Epinephelus_labriformis,0.478244629948913,11.9501,0.9905,0.019732,7.1769,0.01155,37030,0.174947461477072,12.5903029986919,0.989589526904863,0.019732,7.1769,0.0123446947457688,37839.9495331906,0,2,1000,11910.5081007,0,
Epinephelus_maculatus,0.0559783593823357,2.4956,0.98752,0.019811,19.7164,0.01018,52250,0.0502476777345075,2.65370331677391,0.991740778552805,0.0212966164046628,21.3003158425354,0.00641891982417921,34718.6815247168,0,3,1500,57.7681256,0,
Epinephelus_malabaricus,0.0080079420267736,16.5618,0.99232,0.021812,17.5774,0.004705,62990,0.00456978878587284,16.5443269543066,0.992307777742895,0.0214697343600919,18.2511076495359,0.00453271997157404,63688.8280738794,0,3,1500,87.7289706,0,
Epinephelus_polyphekadion,0.0638147492677469,4.2778,0.98765,0.019529,17.5819,0.00815,250800,0.0620891603114197,4.3254678858974,0.98765,0.020085068666227,17.7877741484728,0.0082192859576791,286449.439034421,0,5,2500,268.4670217,0,
Epinephelus_quoyanus,0.0588254981249653,2.0773,0.98765,0.022223,26.2055,0.009481,5416,0.0552878024858292,2.07307358736679,0.98765,0.0220475952466809,26.4115497930657,0.00942159417412313,6925.10525956581,0,4,2000,84.4077114,0,
Equulites_elongatus,0.0685792978736844,1.6098,0.95259,0.028761,72.0151,0.03598,219.8,0.0648755213415619,1.62100780070529,0.951479436512363,0.028761,69.5565624363342,0.0372831897000075,242.459789161081,0,3,1500,40.5041928,0,
Equulites_leuciscus,0.0108088231987312,3.8671,0.99066,0.021515,23.6556,0.006829,1077,0.00624523261993984,3.93067122300317,0.98921933511843,0.020769107299362,20.3913336856248,0.00831218130854791,1301.05947855103,0,3,1500,32489.6059614,0,
