species,ab,ap,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,foetus,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp,Wwj,E_Hj,Wwx,E_Hx,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Gallotia_galloti,4.247460e+01,1.255982e+03,2.427015e+03,3.000000e-01,1.160000e+00,5.811559e+00,2.072000e+01,9.723878e-03,2.991500e+02,False,False,False,4.628610e+01,7.115700e-01,7.182800e-02,1.226020e+01,3.500000e-09,3.172000e+03,4.011000e+04,,,,,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Oryzias_latipes,6.960445e+00,3.470897e+01,3.042667e+03,2.000000e-01,6.500000e-04,1.780000e-01,8.000000e-01,6.193875e+01,2.991500e+02,True,False,False,1.460752e+02,4.705100e-01,1.055600e-02,3.639773e+02,3.281000e-08,1.318000e+00,7.155000e+02,1.567133e-02,4.975000e+01,,,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
Mobula_birostris,2.353896e+02,2.078642e+03,1.154801e+04,2.000000e-01,9.000000e+03,1.143333e+05,3.000000e+06,1.298925e-03,2.981500e+02,False,False,False,1.648053e+03,9.735700e-01,1.335400e-01,1.718710e+01,1.244000e-10,2.625000e+06,1.001000e+08,,,,,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False
Mytilus_trossulus,2.069002e+00,4.336036e+02,1.489681e+03,9.000000e-02,7.777778e-06,8.333333e+00,3.777778e+01,1.387142e+04,2.911500e+02,True,False,False,5.847327e+01,5.285400e-01,4.451700e-02,2.685330e+01,9.115000e-08,9.598000e-03,1.941000e+04,1.150000e-04,1.493000e-01,,,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
Egernia_striolata,3.287032e+01,3.042696e+02,7.153308e+03,3.000000e-01,3.028000e+00,2.696347e+01,4.645970e+01,1.397955e-02,2.981500e+02,False,False,False,1.643588e+02,5.949000e-01,1.434600e-02,3.404730e+01,5.744000e-10,8.264000e+03,1.037000e+05,,,,,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Hemidactylus_turcicus,3.638031e+01,2.382693e+02,1.377678e+03,3.000000e-01,3.680000e-01,2.500000e+00,5.500000e+00,1.302935e-02,2.981500e+02,False,False,False,9.856150e+01,8.528400e-01,3.852200e-02,5.025240e+01,4.963000e-08,4.017000e+02,3.083000e+03,,,,,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Eretmochelys_imbricata,2.906097e+01,8.834207e+03,3.522059e+04,3.000000e-01,1.650000e+01,1.310594e+05,1.270000e+05,1.135699e-01,2.911500e+02,False,False,False,1.716374e+03,9.180700e-01,4.376100e-02,5.944660e+01,1.811000e-10,2.017000e+03,3.292000e+07,,,,,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
Crocodylus_acutus,2.667002e+01,2.336272e+03,1.085513e+04,3.000000e-01,6.000000e+01,6.691663e+04,1.730000e+05,3.030825e-01,2.981500e+02,False,False,False,8.193038e+02,8.871800e-01,3.230000e-02,2.193490e+01,2.198000e-10,1.324000e+04,2.172000e+07,,,,,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
Pogona_barbata,3.085593e+01,2.639142e+02,2.181186e+03,3.000000e-01,2.810000e+00,5.670000e+01,7.180000e+02,4.133302e-01,3.081500e+02,False,False,False,3.261758e+03,9.306100e-01,5.011500e-02,7.449078e+02,1.527000e-09,3.356000e+02,7.107000e+04,,,,6.230000e+02,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
Chaenocephalus_aceratus,4.928058e+02,1.997917e+04,5.995803e+04,2.000000e-01,4.500000e-02,6.340000e+02,9.780000e+02,7.547279e+00,2.721500e+02,True,False,False,1.068416e+03,2.800800e-01,1.129400e-01,1.486104e+02,1.071000e-07,1.567000e+02,1.030000e+07,1.341564e+00,8.292000e+03,,,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
