species,Wwi,d_V,genus,family,order,class,phylum,kap,v,s_p_M,E_Hb,E_Hj,E_Hp,k_J,s_M,p_M,metamorphosis,estim_p_M,estim_v,estim_kap,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,estim_s_M,estim_s_p_M,estim_p_Am
Dascyllus_reticulatus,2.1000000000e+01,2.0000000000e-01,Dascyllus,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,9.9600647110e-01,2.0711759237e-02,6.6820520476e-02,1.5536871313e-03,2.3468508931e-02,4.8902032835e+01,2.0000000000e-03,2.4585103502e+00,2.1537052104e+01,True,True,True,True,False,True,True,True,True,True,True
Fregata_minor,1.4600000000e+03,2.8000000000e-01,Fregata,Fregatidae,Suliformes,Aves,Chordata,8.1281234477e-01,1.9728686722e-02,9.5916518170e-01,2.1750703202e+04,2.1750703204e+04,4.3424033562e+05,1.7379418243e-02,1.0000000000e+00,4.1914996686e+02,False,True,True,True,True,True,False,True,True,True,True
Scorpaena_porcus,9.7840000000e+02,2.0000000000e-01,Scorpaena,Scorpaenidae,Perciformes,Actinopterygii,Chordata,8.7698882680e-01,2.7789000000e-02,2.2803273977e-02,5.2381689020e-01,9.3261833716e-01,1.6937903531e+04,2.0000000000e-03,1.2106172962e+00,2.5445192510e+01,True,True,False,True,False,True,True,True,True,True,True
Lophochroa_leadbeateri,3.9200000000e+02,2.8000000000e-01,Lophochroa,Cacatuidae,Psittaciformes,Aves,Chordata,9.2625982230e-01,2.7955571431e-02,9.1321381291e-01,1.4346443177e+03,1.4346443179e+03,7.3962791200e+04,1.6619551172e-02,1.0000000000e+00,4.0517740366e+02,False,True,True,True,True,True,False,True,True,True,True
Accipiter_cooperii,5.1800000000e+02,2.8000000000e-01,Accipiter,Accipitridae,Accipitriformes,Aves,Chordata,9.7119558547e-01,2.7138642329e-02,6.8897510675e-01,4.6172768190e+02,4.6172768195e+02,9.2631839586e+03,7.0854961623e-02,1.0000000000e+00,1.7429010465e+03,False,True,True,True,True,True,False,True,True,True,True
Parabuteo_unicinctus,1.0260000000e+03,2.8000000000e-01,Parabuteo,Accipitridae,Accipitriformes,Aves,Chordata,9.5535226021e-01,2.3546921096e-02,7.0155382365e-01,1.5720499763e+03,1.5720499765e+03,4.6475930448e+04,2.6306273770e-02,1.0000000000e+00,6.4210840979e+02,False,True,True,True,True,True,False,True,True,True,True
Melospiza_lincolnii,1.8300000000e+01,2.8000000000e-01,Melospiza,Passerellidae,Passeriformes,Aves,Chordata,9.6590365128e-01,2.5439406025e-02,7.4615026763e-01,7.7365892128e+01,7.7365892136e+01,9.1383217801e+02,6.9648678278e-02,1.0000000000e+00,1.7068010836e+03,False,True,True,True,True,True,False,True,True,True,True
Turdus_philomelos,6.6200000000e+01,2.8000000000e-01,Turdus,Turdidae,Passeriformes,Aves,Chordata,9.7823098290e-01,2.5238277935e-02,7.0574943538e-01,6.3526999275e+01,6.3526999281e+01,1.0399679492e+03,1.0955543907e-01,1.0000000000e+00,2.6864761251e+03,False,True,True,True,True,True,False,True,True,True,True
Meleagris_gallopavo,1.5000000000e+04,2.8000000000e-01,Meleagris,Phasianidae,Galliformes,Aves,Chordata,9.9475561555e-01,1.9218886762e-02,1.3747754635e-01,7.2637033103e+01,7.2637033111e+01,3.8070560457e+03,5.7285664106e-02,1.0000000000e+00,1.3805772492e+03,False,True,True,True,True,True,False,True,True,True,True
Spizella_passerina,1.2200000000e+01,2.8000000000e-01,Spizella,Passerellidae,Passeriformes,Aves,Chordata,9.3380501261e-01,2.2850089021e-02,7.4024931568e-01,9.5448173249e+01,9.5448173259e+01,8.0190827996e+02,1.2172508547e-01,1.0000000000e+00,2.9711946036e+03,False,True,True,True,True,True,False,True,True,True,True
