species,ab/m,abjx/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Anthobaphes_violacea,1.333681e-02,2.374777e-02,4.456969e-02,2.219498e+02,2.800000e-01,1.363636e-01,1.363636e-01,8.800000e+00,3.829695e-02,3.147500e+02,False,False,5.818010e+02,9.563300e-01,3.082600e-02,4.244041e+02,7.306560e+03,1.483000e-11,1.531633e-01,4.516129e-01,2.170000e+03
Eubalaena_glacialis,1.431200e-02,2.302188e-02,1.337150e-01,5.043615e+03,3.000000e-01,3.453600e-02,3.453600e-02,2.300000e+07,3.852395e-03,3.111500e+02,False,True,1.282588e+04,9.206400e-01,5.370400e-02,1.319389e+02,7.840068e+03,6.754000e-16,2.717751e-01,7.889243e-02,3.449000e+09
Mandrillus_sphinx,2.650077e-02,5.074735e-02,1.077336e-01,3.011114e+03,3.000000e-01,7.822581e-02,2.419355e-01,1.240000e+04,1.062730e-02,3.111500e+02,False,True,6.536579e+02,7.047100e-01,3.090100e-02,3.139110e+01,7.833428e+03,1.869000e-13,1.447594e-01,4.199889e-01,1.806000e+07
Lutrogale_perspicillata,4.640561e-02,6.953317e-02,1.762757e-01,1.149742e+03,3.000000e-01,1.222222e-02,1.222222e-02,9.000000e+03,6.697156e-02,3.112500e+02,False,True,4.014549e+03,8.387600e-01,5.961700e-02,3.512594e+02,7.831767e+03,5.375000e-13,6.135915e-03,1.963732e-01,2.840000e+07
Zapus_hudsonius,1.709405e-02,3.079268e-02,4.693749e-02,5.892122e+02,3.000000e-01,2.285714e-02,2.228571e-01,3.500000e+01,1.097737e-01,3.071500e+02,False,True,1.165088e+03,9.790100e-01,2.940300e-02,6.620426e+02,7.853537e+03,5.076000e-10,4.571214e-02,3.203920e-01,2.908000e+03
Amblygaster_sirm,1.027397e-03,1.027397e-03,1.250000e-01,1.847682e+03,2.000000e-01,1.632653e-06,1.632653e-06,1.960000e+02,5.758568e+02,2.981500e+02,True,False,6.382882e+02,9.506300e-01,2.378600e-02,3.288580e+02,5.231409e+03,3.361000e-09,2.130735e-01,1.018729e-06,6.247000e+04
Lissotriton_helveticus,3.424658e-03,2.083333e-02,2.117580e-01,9.418490e+03,2.800000e-01,3.461538e-04,3.461538e-04,5.200000e+00,3.822269e-01,2.931500e+02,False,False,9.292066e+01,8.674300e-01,7.613700e-02,4.965940e+01,7.304995e+03,1.075000e-08,1.421715e-01,7.792765e-03,1.631000e+03
Pterodroma_macroptera,6.027397e-03,6.027397e-03,1.797260e-02,1.633708e+03,2.800000e-01,7.857143e-02,7.857143e-02,7.000000e+02,1.530262e-02,3.105500e+02,False,False,6.262270e+03,9.911100e-01,4.683500e-02,1.985603e+03,7.304736e+03,4.595000e-28,1.000000e+00,1.086632e-02,1.339000e+05
Sapajus_apella,9.410393e-03,2.769509e-02,1.108398e-01,3.322847e+03,3.000000e-01,1.198500e-01,1.198500e-01,2.000000e+03,5.663270e-03,3.116500e+02,False,True,2.441529e+02,6.493500e-01,1.556300e-02,1.849130e+01,7.835971e+03,9.531000e-14,3.171180e-01,3.652420e-01,2.831000e+06
Perodicticus_potto,6.920408e-02,7.131807e-02,1.154581e-01,2.856380e+03,3.000000e-01,2.572727e-02,6.909091e-02,1.100000e+03,1.134303e-02,3.092500e+02,False,True,5.276138e+02,9.608700e-01,1.444300e-01,5.610290e+01,7.826159e+03,1.311000e-25,3.102791e-01,2.883970e-02,7.455000e+05
Heterodon_nasicus,8.105971e-03,8.105971e-03,1.091161e-01,4.573012e+03,3.000000e-01,1.535381e-03,1.535381e-03,1.498000e+03,5.195700e-02,2.981500e+02,False,False,2.106872e+02,9.762500e-01,5.042900e-02,2.085150e+01,7.836999e+03,5.602000e-10,1.000000e+00,8.153191e-03,3.525000e+04
Tachycineta_stolzmanni,8.338665e-03,1.706966e-02,3.453165e-02,4.039487e+02,2.800000e-01,6.666667e-02,6.666667e-02,1.650000e+01,1.207480e-01,3.147500e+02,False,False,7.097924e+02,8.849700e-01,2.320300e-02,4.403400e+02,7.316719e+03,1.134000e-11,7.958746e-02,4.522108e-01,8.255000e+03
Leptoptilos_crumeniferus,1.838742e-03,1.838742e-03,7.967883e-03,2.404380e+03,2.800000e-01,9.714286e-03,9.714286e-03,7.000000e+03,3.718215e-02,3.126500e+02,False,False,1.683436e+04,9.988300e-01,1.269000e-01,2.478211e+03,7.304636e+03,3.889000e-19,1.000000e+00,4.693622e-04,2.399000e+05
Tyrannus_melancholicus,6.421887e-03,1.098810e-02,2.012052e-02,4.927286e+02,2.800000e-01,8.762887e-02,8.762887e-02,3.880000e+01,6.758285e-02,3.147500e+02,False,False,1.269528e+03,9.577300e-01,3.386000e-02,6.731617e+02,7.327254e+03,4.338000e-13,1.386813e-01,4.304636e-01,5.285000e+03
Bufotes_latastii,1.095890e-03,3.013699e-02,3.010959e-01,3.650000e+03,2.800000e-01,4.000000e-05,4.000000e-05,3.000000e+01,2.191781e+01,2.881500e+02,False,False,1.083930e+02,5.968100e-01,1.296200e-01,2.196680e+01,7.313628e+03,1.895000e-09,1.946988e-02,5.051735e-03,4.929000e+04
Calotriton_asper,3.962065e-03,4.769231e-02,1.578082e-01,2.487917e+04,2.800000e-01,2.871429e-03,3.420185e-03,1.400000e+01,2.612627e-02,2.831500e+02,False,False,8.690360e+01,8.481100e-01,1.131100e-01,3.119870e+01,7.306736e+03,1.872000e-09,1.170964e-01,6.827465e-02,5.680000e+03
Oceanodroma_furcata,1.837316e-02,1.837316e-02,2.826662e-02,1.013895e+03,2.800000e-01,9.473684e-02,9.473684e-02,9.500000e+01,1.775331e-02,3.121500e+02,False,False,2.603950e+03,9.958100e-01,6.700100e-02,1.085999e+03,7.322110e+03,1.557000e-13,1.000000e+00,1.061514e-02,1.268000e+04
Strix_uralensis,3.223207e-03,3.223207e-03,7.827789e-03,1.245340e+03,2.800000e-01,3.448276e-02,3.448276e-02,8.700000e+02,5.542259e-02,3.129500e+02,False,False,1.635813e+04,9.918100e-01,1.503300e-02,9.497809e+03,7.325326e+03,3.792000e-13,1.000000e+00,2.880406e-02,1.873000e+04
