species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Hydrochoerus_hydrochaeris,1.299674e-01,2.302413e-01,1.216607e+03,3.000000e-01,1.648352e-02,1.648352e-02,4.395604e-01,9.100000e+04,9.863500e-02,3.102500e+02,,True,,1.245327e+03,9.381900e-01,5.927500e-01,2.690440e+01,7.796017e+03,2.578100e-22,5.320875e-01,2.880286e-02,3.792593e+07
Rattus_norvegicus,6.348838e-03,1.274153e-02,1.472116e+03,3.000000e-01,8.536585e-03,8.536585e-03,1.851220e-01,8.200000e+02,4.478858e-01,3.101500e+02,,True,,4.414311e+03,9.712800e-01,3.051300e-02,1.288205e+03,7.841834e+03,7.781000e-20,8.390318e-02,1.603590e-01,2.061000e+04
Macrochelys_temminckii,2.628124e-03,1.591004e-01,1.777086e+04,3.000000e-01,5.118346e-05,5.118346e-05,1.367521e-01,5.850000e+04,1.186774e-01,2.971500e+02,,False,,5.024430e+02,9.844500e-01,9.558400e-03,2.577460e+01,7.826797e+03,1.686000e-10,1.000000e+00,5.342321e-04,1.706000e+05
Astacus_astacus,2.811719e-02,2.947839e-01,1.435337e+04,1.700000e-01,2.052786e-04,2.052786e-04,2.639296e-01,6.820000e+01,2.090102e-01,2.831500e+02,,False,,1.449119e+02,9.062400e-01,2.285100e-02,4.261860e+01,4.435968e+03,6.321000e-08,1.000000e+00,4.307049e-04,6.696000e+03
Ruditapes_philippinarum,2.094242e-04,4.244614e-02,8.594417e+03,9.000000e-02,2.346939e-09,1.020408e-05,4.387755e-02,1.088889e+01,5.084831e+03,2.881500e+02,,False,,3.432868e+00,9.916600e-01,5.821200e-03,1.110790e+01,2.357883e+03,3.054000e-09,3.342282e-03,1.509285e-05,8.885000e+00
Rattus_norvegicus_Wistar,5.325991e-02,7.968848e-02,3.136930e+02,3.000000e-01,1.763636e-02,1.446061e-01,3.727273e-01,3.300000e+02,1.027093e+00,3.101500e+02,,True,,9.335676e+03,9.480300e-01,2.901800e-02,4.643982e+03,7.843971e+03,1.112000e-09,3.279886e-02,2.552058e-01,4.130000e+04
Egernia_striolata,4.595121e-03,4.253551e-02,7.153308e+03,3.000000e-01,6.517477e-02,6.517477e-02,5.803625e-01,4.645970e+01,1.397955e-02,2.981500e+02,,False,,1.643588e+02,5.949000e-01,1.434600e-02,3.404730e+01,7.728243e+03,5.744000e-10,1.000000e+00,7.969142e-02,1.037000e+05
Brachionus_plicatilis,9.090909e-02,1.727273e-01,1.100000e+01,6.000000e-02,1.357143e-01,1.357143e-01,7.857143e-01,2.800000e-06,4.528302e+00,2.931500e+02,,False,,9.979957e+01,3.680800e-01,1.259600e-02,4.843520e+03,1.559423e+03,1.932000e-03,1.000000e+00,5.031325e-01,6.225000e-04
Typhlichthys_subterraneus,5.222603e-02,3.864726e-01,2.846295e+03,2.000000e-01,1.405405e-03,1.405405e-03,1.378378e-01,3.700000e+00,7.026679e-02,2.861500e+02,,False,,6.578921e+01,9.282700e-01,2.454400e-02,4.533790e+01,5.218250e+03,5.562000e-07,1.000000e+00,7.134208e-03,1.982000e+02
Pyxicephalus_adspersus,1.155740e-04,9.848746e-04,1.642500e+04,2.800000e-01,1.193317e-05,7.756563e-03,3.579952e-02,8.380000e+02,1.731900e+01,2.981500e+02,,False,,2.685548e+03,9.935600e-01,6.513900e-02,5.229716e+02,7.327380e+03,7.218000e-11,1.612350e-02,8.424855e-03,4.844000e+02
