species,ab,ap,am,d_V,Wwb,Wwbjx,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hbjx,E_Hp
Ursus_maritimus,2.174002e+02,5.832903e+02,3.575745e+03,3.000000e-01,6.650000e+02,1.020000e+05,1.540000e+05,1.850000e+05,1.170479e-02,3.099500e+02,False,True,1.225729e+03,9.309500e-01,7.666000e-02,3.063680e+01,7.830453e+03,2.606000e-15,1.431000e+05,3.327000e+07,5.656000e+07
Setonix_brachyurus,2.670979e+01,6.759786e+01,9.361508e+02,3.000000e-01,4.040000e-01,7.260000e+02,1.332000e+03,5.000000e+03,2.063770e-02,3.101500e+02,False,True,4.862859e+02,8.766900e-01,3.761400e-02,3.417630e+01,7.830467e+03,1.475100e-12,1.565699e+02,4.083100e+05,7.502960e+05
Alle_alle,8.670974e+00,1.230121e+01,7.805677e+02,2.800000e-01,2.150000e+01,2.150000e+01,1.400000e+02,1.635000e+02,2.075413e-02,3.138500e+02,False,False,9.911631e+03,9.953700e-01,2.649200e-02,6.827502e+03,7.323246e+03,5.151000e-14,3.167000e+02,3.167000e+02,7.881000e+03
Caretta_caretta,2.761787e+01,5.683103e+03,2.105097e+04,3.000000e-01,1.941000e+01,1.941000e+01,7.900000e+04,1.626200e+05,8.911702e-01,2.931500e+02,False,False,7.472709e+02,7.285600e-01,6.807400e-02,1.120050e+01,7.322000e+03,1.112000e-10,2.535000e+04,2.535000e+04,9.875000e+07
Bos_primigenius_Brahman,5.580370e+01,1.420337e+02,1.247866e+03,3.000000e-01,3.120000e+04,2.165000e+05,3.040000e+05,7.000000e+05,1.412662e-02,3.121500e+02,False,True,1.618308e+03,9.443900e-01,1.053400e-01,2.493850e+01,7.836059e+03,4.796900e-12,6.966395e+06,3.400270e+07,6.312538e+07
Mytilopsis_sallei,1.745599e-01,2.094719e+01,4.684098e+02,9.000000e-02,1.131000e-07,2.732986e-07,1.100000e-02,3.194000e-01,9.024651e+01,3.001500e+02,True,False,7.146776e+00,9.991800e-01,8.286700e-02,4.944890e+01,2.348227e+03,3.164000e-08,1.952000e-07,2.153000e-05,2.315000e-02
Phascolarctos_cinereus,3.930777e+01,1.510772e+02,1.117694e+03,3.000000e-01,5.000000e-01,2.000000e+03,6.000000e+03,8.300000e+03,1.342049e-02,3.091500e+02,False,True,1.740336e+03,7.407800e-01,1.060600e-01,1.030977e+02,7.807520e+03,2.979800e-18,3.912055e+02,6.171812e+06,3.004629e+07
Pseudemydura_umbrina,5.491236e+01,5.083941e+03,4.926038e+04,3.000000e-01,5.200000e+00,5.200000e+00,2.365000e+02,4.170000e+02,1.015015e-02,2.981500e+02,False,False,2.232984e+02,6.486200e-01,2.572300e-02,1.893600e+01,8.291128e+03,9.561000e-11,1.043000e+04,1.043000e+04,5.467000e+05
Branchiura_sowerbyi,1.549377e+01,7.017768e+01,1.002538e+03,1.600000e-01,4.400000e-04,4.400000e-04,8.400000e-02,2.400000e-01,3.218497e-01,2.931500e+02,False,False,5.509754e+02,9.594200e-01,8.632900e-03,2.240851e+03,4.180457e+03,6.632000e-08,1.311000e-02,1.311000e-02,1.217000e+01
Rana_macrocnemis,5.243240e+01,3.879998e+03,1.052580e+04,2.800000e-01,4.200000e-03,4.200000e-03,7.000000e+00,4.000000e+01,2.434968e-01,2.831500e+02,False,False,9.021741e+01,9.223200e-01,9.481800e-02,2.660740e+01,7.310107e+03,3.918000e-08,2.248000e+00,7.649000e+02,5.527000e+03
Macroramphosus_scolopax,9.481282e+00,7.978863e+02,3.194463e+03,2.000000e-01,3.800000e-04,3.800000e-04,3.100000e+00,2.720000e+01,2.399465e+01,2.891500e+02,False,False,1.096012e+02,8.500000e-01,5.712500e-02,3.460920e+01,5.219094e+03,5.943000e-08,2.428000e-01,2.428000e-01,2.928000e+03
Typhlichthys_subterraneus,1.486507e+02,1.100015e+03,2.846295e+03,2.000000e-01,5.200000e-03,5.200000e-03,5.100000e-01,3.700000e+00,7.026679e-02,2.861500e+02,False,False,6.578921e+01,9.282700e-01,2.454400e-02,4.533790e+01,5.218250e+03,5.562000e-07,1.414000e+00,1.414000e+00,1.982000e+02
Lobatus_gigas,2.116685e+00,6.781328e+02,7.725899e+03,1.500000e-01,1.400000e-05,1.400000e-05,3.000000e+02,5.000000e+02,1.760313e+04,3.001500e+02,True,False,1.945736e+01,8.670000e-01,1.172600e-02,1.504730e+01,3.938833e+03,1.929000e-11,5.811000e-03,1.315000e+00,2.093000e+05
Chrosomus_neogaeus,1.300000e+01,3.780000e+02,2.190000e+03,2.000000e-01,1.400000e-03,1.400000e-03,1.180000e+00,1.170000e+01,8.383562e+00,2.931500e+02,True,False,2.161959e+01,9.077300e-01,4.055000e-02,6.945830e+01,5.221161e+03,2.804000e-09,6.972000e-01,4.577000e+02,4.580000e+02
Pelobates_fuscus,1.166927e+01,1.512031e+03,6.775828e+03,2.800000e-01,1.259259e-03,4.460000e+00,1.000000e+01,3.400000e+01,6.198505e+00,2.901500e+02,False,False,1.421622e+02,7.752100e-01,1.166700e-01,3.655120e+01,7.298707e+03,1.921000e-09,4.376000e+00,7.271000e+03,3.634000e+04
Smutsia_temminckii,3.715923e+01,2.585979e+02,2.767984e+03,3.000000e-01,3.400000e+02,3.400000e+02,8.000000e+03,1.610000e+04,9.031845e-03,3.065500e+02,False,True,5.046805e+02,9.722500e-01,3.560100e-02,2.772680e+01,7.834543e+03,5.888000e-12,2.845000e+04,7.460000e+04,8.777000e+05
Oncorhynchus_mykiss,1.415675e+02,1.224297e+03,1.749147e+04,2.000000e-01,1.605892e-01,1.605892e-01,3.500000e+03,2.540000e+04,8.090469e+01,2.886500e+02,True,False,2.511589e+03,6.191600e-01,3.245300e-02,3.438835e+02,5.267556e+03,4.004000e-06,4.329000e+01,8.541000e+02,3.881000e+06
Hypsibius_convergens,7.500000e+00,1.950000e+01,9.000000e+02,7.000000e-02,5.310000e-08,5.310000e-08,3.500000e-07,9.880000e-07,1.000000e-01,2.931500e+02,True,False,2.910124e+00,9.409000e-01,1.776000e-03,4.167000e+02,1.822000e+03,2.152000e-08,5.016000e-06,1.257000e-05,4.831000e-05
Stagnicola_palustris,1.200000e+01,6.400000e+01,3.600000e+02,1.500000e-01,5.970000e-05,1.404000e-02,1.300000e-01,2.467000e-01,2.304151e+01,2.931500e+02,True,False,8.558485e+01,8.959000e-01,1.722000e-02,1.031000e+03,3.914000e+03,3.907000e-07,1.628000e-02,6.194000e+00,1.155000e+02
Fratercula_arctica,1.195996e+01,1.790036e+01,1.965874e+03,2.800000e-01,4.400000e+01,4.400000e+01,2.838000e+02,4.360000e+02,2.075413e-02,3.138500e+02,False,False,1.779764e+03,9.949200e-01,8.739100e-02,3.739253e+02,7.336196e+03,3.908000e-20,9.095000e+02,9.095000e+02,2.333000e+04
Rhinogobius_brunneus,8.000000e+00,2.080000e+02,7.300000e+02,2.000000e-01,1.200000e-03,1.200000e-03,7.000000e-01,9.800000e+00,4.657534e+00,2.931500e+02,False,False,1.575057e+02,9.479800e-01,3.453900e-02,8.618810e+01,5.222672e+03,5.508000e-07,1.426000e-01,1.426000e-01,1.895000e+02
Gasterosteus_aculeatus,9.649475e+00,1.220000e+02,2.920000e+03,2.000000e-01,3.416622e-03,3.416622e-03,8.310000e-01,7.213263e+00,4.383562e-01,2.931500e+02,False,False,1.947187e+02,9.844000e-01,7.262000e-02,1.161000e+02,5.224000e+03,3.887000e-09,1.849000e-01,1.849000e-01,7.879000e+01
Heteronotia_binoei_3N1B,3.150509e+01,5.605784e+01,5.475000e+03,3.000000e-01,1.993734e-01,1.993734e-01,1.795292e+00,4.323691e+00,2.906587e-02,2.991500e+02,False,False,4.983759e+01,9.228800e-01,8.383900e-03,3.606250e+01,7.907380e+03,3.957000e-09,9.033000e+01,9.033000e+01,8.455000e+02
Lepomis_cyanellus,1.265535e+00,1.154801e+02,2.309602e+03,2.000000e-01,5.230000e-04,5.230000e-04,7.000000e+00,9.600000e+02,1.125735e+02,2.981500e+02,True,False,1.686717e+02,9.923700e-01,7.457900e-02,1.936360e+01,5.210845e+03,2.585000e-09,1.205000e-02,1.206000e-02,2.128000e+02
Apodemus_sylvaticus,1.119039e+01,2.750141e+01,5.282704e+02,3.000000e-01,2.500000e+00,8.000000e+00,1.400000e+01,4.400000e+01,7.145985e-01,3.098500e+02,False,True,4.856611e+02,5.857600e-01,3.557100e-02,1.143182e+02,7.838678e+03,4.335000e-14,5.938000e+03,2.776000e+04,7.701000e+04
Caenorhabditis_elegans,4.583333e-01,3.166667e+00,2.100000e+01,7.000000e-02,2.400000e-08,2.400000e-08,1.800000e-06,4.300000e-06,2.180000e+02,2.931500e+02,True,False,1.750133e+01,8.500000e-01,8.930000e-02,2.652000e+03,1.811000e+03,2.171000e-04,5.606000e-06,2.810000e-04,9.903000e-04
Ctenophorus_ornatus,7.023721e+01,1.599678e+02,1.539823e+03,3.000000e-01,1.844000e+00,1.844000e+00,1.297000e+01,3.915000e+01,4.141013e-02,3.031500e+02,False,False,3.050411e+02,5.822500e-01,1.555200e-02,9.335620e+01,7.805840e+03,7.809000e-09,2.818000e+03,2.818000e+03,5.056000e+04
Podocnemis_unifilis,2.335202e+01,8.925156e+02,1.352032e+04,3.000000e-01,2.190000e+01,2.190000e+01,2.458000e+03,1.160000e+04,2.070957e-01,3.001500e+02,False,False,1.950802e+02,8.490600e-01,5.719300e-02,8.284600e+00,7.861023e+03,1.326000e-11,1.891000e+04,1.891000e+04,4.026000e+06
Macropus_fuliginosus,3.736532e+01,1.703362e+02,1.680593e+03,3.000000e-01,8.343300e-01,6.500000e+03,1.650000e+04,3.540000e+04,1.380465e-02,3.094500e+02,False,True,7.595611e+02,8.262200e-01,4.728300e-02,2.738400e+01,7.823427e+03,4.542000e-13,4.209000e+02,4.403000e+06,1.340000e+07
Macropus_antilopinus,3.582220e+01,1.602806e+02,7.109127e+02,3.000000e-01,7.030000e-01,7.500000e+03,1.250000e+04,1.750000e+04,1.901572e-02,3.096500e+02,False,True,7.172055e+02,8.070200e-01,5.489400e-02,3.107830e+01,7.828704e+03,2.222600e-11,4.716275e+02,8.325595e+06,1.473407e+07
Gammarus_pseudolimnaeus,4.439360e+01,2.298250e+02,1.101921e+03,1.700000e-01,1.176471e-04,1.176471e-04,9.000000e-03,6.764706e-02,1.544004e-01,2.851500e+02,True,False,2.001373e+01,9.133400e-01,1.509600e-02,1.239950e+02,4.435986e+03,5.889200e-06,4.406800e-02,9.390300e-01,4.502800e+00
Dermatemys_mawii,9.625774e+01,1.333771e+03,1.997699e+03,3.000000e-01,3.120000e+01,3.120000e+01,1.060000e+04,2.200000e+04,2.262603e-01,3.011500e+02,False,False,5.841863e+02,7.996100e-01,1.259800e-02,3.138180e+01,7.823517e+03,8.179000e-09,1.100000e+04,1.100000e+04,5.044000e+06
